From,To,Length(m),Azimuth(deg),Clino(deg)
3100.25@mountain-eye-lower-canyon.Mountaineye,-,2.66,34.43,-13.00
3100.25@mountain-eye-lower-canyon.Mountaineye,-,4.55,20.43,-7.63
3100.25@mountain-eye-lower-canyon.Mountaineye,-,6.09,16.16,-5.20
3100.25@mountain-eye-lower-canyon.Mountaineye,3100.26@mountain-eye-lower-canyon.Mountaineye,17.02,16.92,1.28
3100.26@mountain-eye-lower-canyon.Mountaineye,-,2.05,55.32,-14.12
3100.26@mountain-eye-lower-canyon.Mountaineye,-,0.98,206.89,32.84
3100.26@mountain-eye-lower-canyon.Mountaineye,-,1.23,112.36,-80.79
3100.26@mountain-eye-lower-canyon.Mountaineye,-,5.97,247.42,1.06
3100.26@mountain-eye-lower-canyon.Mountaineye,-,5.53,215.10,-2.41
3100.26@mountain-eye-lower-canyon.Mountaineye,-,8.52,288.11,1.13
3100.26@mountain-eye-lower-canyon.Mountaineye,-,10.79,310.18,1.57
3100.26@mountain-eye-lower-canyon.Mountaineye,-,2.64,45.55,-9.88
3100.26@mountain-eye-lower-canyon.Mountaineye,-,3.95,349.99,-3.37
3100.26@mountain-eye-lower-canyon.Mountaineye,-,6.04,328.10,-10.52
3100.26@mountain-eye-lower-canyon.Mountaineye,-,3.03,335.50,-22.82
3100.26@mountain-eye-lower-canyon.Mountaineye,-,2.79,292.41,-24.19
3100.26@mountain-eye-lower-canyon.Mountaineye,-,4.10,241.41,-15.74
3100.26@mountain-eye-lower-canyon.Mountaineye,3100.27@mountain-eye-lower-canyon.Mountaineye,12.42,324.46,-0.30
3100.27@mountain-eye-lower-canyon.Mountaineye,-,1.55,48.60,-48.47
3100.27@mountain-eye-lower-canyon.Mountaineye,-,3.49,105.45,28.43
3100.27@mountain-eye-lower-canyon.Mountaineye,-,1.85,323.56,-5.33
3100.27@mountain-eye-lower-canyon.Mountaineye,-,7.42,148.50,3.84
3100.27@mountain-eye-lower-canyon.Mountaineye,-,5.99,119.27,-9.46
3100.27@mountain-eye-lower-canyon.Mountaineye,-,7.69,87.84,0.09
3100.27@mountain-eye-lower-canyon.Mountaineye,-,5.93,24.05,-3.24
3100.27@mountain-eye-lower-canyon.Mountaineye,-,12.28,47.02,-1.24
3100.27@mountain-eye-lower-canyon.Mountaineye,-,17.50,67.85,-0.96
3100.27@mountain-eye-lower-canyon.Mountaineye,-,6.34,35.76,-9.53
3100.27@mountain-eye-lower-canyon.Mountaineye,-,2.81,18.56,-24.60
3100.27@mountain-eye-lower-canyon.Mountaineye,-,1.84,72.98,-39.31
3100.27@mountain-eye-lower-canyon.Mountaineye,3100.28@mountain-eye-lower-canyon.Mountaineye,15.88,77.12,2.37
3100.28@mountain-eye-lower-canyon.Mountaineye,-,0.78,138.58,76.20
3100.28@mountain-eye-lower-canyon.Mountaineye,-,1.33,59.98,-71.89
3100.28@mountain-eye-lower-canyon.Mountaineye,-,3.11,24.55,-7.62
3100.28@mountain-eye-lower-canyon.Mountaineye,-,4.58,196.08,-1.70
3100.28@mountain-eye-lower-canyon.Mountaineye,3100.29@mountain-eye-lower-canyon.Mountaineye,16.02,90.53,-2.24
3100.29@mountain-eye-lower-canyon.Mountaineye,-,0.56,331.22,77.57
3100.29@mountain-eye-lower-canyon.Mountaineye,-,1.05,348.01,-79.99
3100.29@mountain-eye-lower-canyon.Mountaineye,-,4.89,323.29,-0.32
3100.29@mountain-eye-lower-canyon.Mountaineye,-,2.09,127.79,-13.94
3100.29@mountain-eye-lower-canyon.Mountaineye,-,12.38,283.55,-1.67
3100.29@mountain-eye-lower-canyon.Mountaineye,-,5.96,301.04,0.15
3100.29@mountain-eye-lower-canyon.Mountaineye,-,4.92,217.94,-5.38
3100.29@mountain-eye-lower-canyon.Mountaineye,-,8.91,243.79,-1.06
3100.29@mountain-eye-lower-canyon.Mountaineye,-,20.86,260.93,3.35
3100.29@mountain-eye-lower-canyon.Mountaineye,-,3.50,195.53,-6.67
3100.29@mountain-eye-lower-canyon.Mountaineye,-,5.90,65.26,-5.33
3100.29@mountain-eye-lower-canyon.Mountaineye,-,1.37,320.17,-49.62
3100.29@mountain-eye-lower-canyon.Mountaineye,-,2.13,15.15,-29.19
3100.29@mountain-eye-lower-canyon.Mountaineye,-,4.32,33.06,-13.72
3100.29@mountain-eye-lower-canyon.Mountaineye,3100.30@mountain-eye-lower-canyon.Mountaineye,13.30,49.80,-0.94
3100.30@mountain-eye-lower-canyon.Mountaineye,-,0.34,131.56,85.05
3100.30@mountain-eye-lower-canyon.Mountaineye,-,0.70,60.22,-76.42
3100.30@mountain-eye-lower-canyon.Mountaineye,-,3.59,342.72,-8.28
3100.30@mountain-eye-lower-canyon.Mountaineye,-,2.82,142.20,-5.67
3100.30@mountain-eye-lower-canyon.Mountaineye,3100.31@mountain-eye-lower-canyon.Mountaineye,8.38,37.96,-1.45
3100.31@mountain-eye-lower-canyon.Mountaineye,-,0.76,48.53,-72.05
3100.31@mountain-eye-lower-canyon.Mountaineye,-,4.26,282.85,-0.41
3100.31@mountain-eye-lower-canyon.Mountaineye,-,1.45,80.27,-15.29
3100.31@mountain-eye-lower-canyon.Mountaineye,-,11.30,353.70,-3.42
3100.31@mountain-eye-lower-canyon.Mountaineye,-,11.71,353.51,-3.24
3100.31@mountain-eye-lower-canyon.Mountaineye,-,11.30,353.62,-3.25
3100.31@mountain-eye-lower-canyon.Mountaineye,3100.32@mountain-eye-lower-canyon.Mountaineye,11.27,353.87,-3.37
3100.32@mountain-eye-lower-canyon.Mountaineye,-,1.21,332.38,58.00
3100.32@mountain-eye-lower-canyon.Mountaineye,-,0.24,33.40,-58.33
3100.32@mountain-eye-lower-canyon.Mountaineye,-,2.53,313.41,10.57
3100.32@mountain-eye-lower-canyon.Mountaineye,-,4.25,81.02,1.49
3100.32@mountain-eye-lower-canyon.Mountaineye,3100.33@mountain-eye-lower-canyon.Mountaineye,6.18,44.60,2.62
3100.33@mountain-eye-lower-canyon.Mountaineye,-,0.55,205.35,-73.52
3100.33@mountain-eye-lower-canyon.Mountaineye,-,1.96,137.49,-10.24
3100.33@mountain-eye-lower-canyon.Mountaineye,-,3.05,340.90,-3.49
3100.33@mountain-eye-lower-canyon.Mountaineye,-,5.65,59.67,-3.83
3100.33@mountain-eye-lower-canyon.Mountaineye,-,6.63,117.77,-2.35
3100.33@mountain-eye-lower-canyon.Mountaineye,-,12.08,87.95,-0.53
301.2@Stream-large-south.Mountaineye,-,13.65,168.87,-3.04
301.2@Stream-large-south.Mountaineye,-,12.90,174.61,-2.52
301.2@Stream-large-south.Mountaineye,-,11.04,171.06,0.48
301.2@Stream-large-south.Mountaineye,301.2.1@Stream-large-south.Mountaineye,26.36,228.64,-4.00
301.2.1@Stream-large-south.Mountaineye,-,9.73,148.69,-9.14
301.2.1@Stream-large-south.Mountaineye,-,15.78,205.90,2.35
301.2.1@Stream-large-south.Mountaineye,-,9.50,172.17,-10.61
301.2.1@Stream-large-south.Mountaineye,-,9.27,182.83,2.19
301.2.1@Stream-large-south.Mountaineye,301.2.2@Stream-large-south.Mountaineye,20.12,195.29,-4.43
301.2.2@Stream-large-south.Mountaineye,-,2.37,57.00,57.56
301.2.2@Stream-large-south.Mountaineye,-,2.40,50.14,-38.40
301.2.2@Stream-large-south.Mountaineye,-,1.74,265.44,9.73
301.2.2@Stream-large-south.Mountaineye,-,5.12,335.32,11.29
301.2.2@Stream-large-south.Mountaineye,-,17.33,36.79,0.42
301.2.2@Stream-large-south.Mountaineye,-,13.61,57.46,-5.33
301.2.2@Stream-large-south.Mountaineye,-,13.46,140.42,2.38
301.2.2@Stream-large-south.Mountaineye,-,16.31,177.58,1.76
301.2.2@Stream-large-south.Mountaineye,-,11.91,118.09,2.27
301.2.2@Stream-large-south.Mountaineye,-,13.95,65.09,-7.97
301.2.2@Stream-large-south.Mountaineye,-,12.83,66.14,-6.75
301.2.2@Stream-large-south.Mountaineye,-,13.65,92.16,-8.82
301.2.2@Stream-large-south.Mountaineye,-,16.24,85.55,-13.43
301.2.2@Stream-large-south.Mountaineye,-,13.10,97.78,-15.93
301.2.2@Stream-large-south.Mountaineye,-,11.73,118.98,-17.33
301.2.2@Stream-large-south.Mountaineye,-,8.90,144.16,-23.23
301.2.2@Stream-large-south.Mountaineye,-,14.37,123.85,-22.18
301.2.2@Stream-large-south.Mountaineye,301.2.3@Stream-large-south.Mountaineye,10.96,127.35,-19.60
301.2.3@Stream-large-south.Mountaineye,-,2.21,165.92,-39.05
301.2.3@Stream-large-south.Mountaineye,-,5.75,343.86,70.56
301.2.3@Stream-large-south.Mountaineye,-,2.01,156.19,-58.19
301.2.3@Stream-large-south.Mountaineye,-,6.54,285.03,-3.21
301.2.3@Stream-large-south.Mountaineye,-,2.54,292.91,-23.91
301.2.3@Stream-large-south.Mountaineye,-,5.12,67.88,-15.24
301.2.3@Stream-large-south.Mountaineye,-,9.36,46.24,-8.48
301.2.3@Stream-large-south.Mountaineye,-,5.51,1.29,-3.76
301.2.3@Stream-large-south.Mountaineye,-,8.27,24.44,-2.61
301.2.3@Stream-large-south.Mountaineye,-,12.05,32.83,-5.52
301.2.3@Stream-large-south.Mountaineye,-,7.63,48.05,-9.31
301.2.3@Stream-large-south.Mountaineye,-,14.94,37.32,-2.93
301.2.3@Stream-large-south.Mountaineye,-,16.34,37.35,-2.99
301.2.3@Stream-large-south.Mountaineye,301.2.4@Stream-large-south.Mountaineye,14.95,37.20,-2.98
301.2.4@Stream-large-south.Mountaineye,-,3.29,132.64,52.86
301.2.4@Stream-large-south.Mountaineye,-,3.81,50.03,-29.85
301.2.4@Stream-large-south.Mountaineye,-,5.48,138.77,25.77
301.2.4@Stream-large-south.Mountaineye,-,2.57,338.98,46.61
301.2.4@Stream-large-south.Mountaineye,-,6.21,203.03,-0.96
301.2.4@Stream-large-south.Mountaineye,-,2.38,173.31,-20.86
301.2.4@Stream-large-south.Mountaineye,-,2.82,102.75,-15.23
301.2.4@Stream-large-south.Mountaineye,-,9.41,101.56,9.58
301.2.4@Stream-large-south.Mountaineye,-,5.78,54.33,-7.31
301.2.4@Stream-large-south.Mountaineye,-,9.61,71.85,-4.78
301.2.4@Stream-large-south.Mountaineye,-,5.77,76.17,-9.17
301.2.4@Stream-large-south.Mountaineye,301.2.5@Stream-large-south.Mountaineye,10.42,79.64,-1.99
301.2.5@Stream-large-south.Mountaineye,-,2.60,159.08,61.40
301.2.5@Stream-large-south.Mountaineye,-,1.64,107.34,-56.99
301.2.5@Stream-large-south.Mountaineye,-,3.63,154.41,13.36
301.2.5@Stream-large-south.Mountaineye,-,3.77,69.98,-6.09
301.2.5@Stream-large-south.Mountaineye,-,2.35,145.04,-16.44
301.2.5@Stream-large-south.Mountaineye,-,4.51,109.30,-8.68
301.2.5@Stream-large-south.Mountaineye,-,6.84,129.16,-7.19
301.2.5@Stream-large-south.Mountaineye,-,7.84,112.95,-5.58
301.2.5@Stream-large-south.Mountaineye,301.2.6@Stream-large-south.Mountaineye,7.42,91.83,-0.64
301.2.6@Stream-large-south.Mountaineye,-,1.19,303.86,50.97
301.2.6@Stream-large-south.Mountaineye,-,1.15,263.43,-80.52
301.2.6@Stream-large-south.Mountaineye,-,3.54,298.63,0.02
301.2.6@Stream-large-south.Mountaineye,-,4.02,6.92,-11.55
301.2.6@Stream-large-south.Mountaineye,-,6.20,353.29,-4.45
301.2.6@Stream-large-south.Mountaineye,-,10.24,320.34,15.48
301.2.6@Stream-large-south.Mountaineye,-,8.47,337.14,-4.53
301.2.6@Stream-large-south.Mountaineye,-,14.16,346.88,-0.98
301.2.6@Stream-large-south.Mountaineye,-,14.11,346.72,-0.98
301.2.6@Stream-large-south.Mountaineye,301.2.7@Stream-large-south.Mountaineye,13.48,346.82,-1.12
301.2.7@Stream-large-south.Mountaineye,-,3.45,103.80,61.14
301.2.7@Stream-large-south.Mountaineye,-,0.99,93.95,-67.19
301.2.7@Stream-large-south.Mountaineye,-,2.96,97.47,8.17
301.2.7@Stream-large-south.Mountaineye,-,2.88,17.30,7.75
301.2.7@Stream-large-south.Mountaineye,-,6.14,158.94,-0.93
301.2.7@Stream-large-south.Mountaineye,-,3.43,136.82,-1.11
301.2.7@Stream-large-south.Mountaineye,-,11.50,42.17,-1.44
301.2.7@Stream-large-south.Mountaineye,-,4.22,74.72,10.74
301.2.7@Stream-large-south.Mountaineye,-,3.85,20.03,3.59
301.2.7@Stream-large-south.Mountaineye,301.2.8@Stream-large-south.Mountaineye,8.44,34.21,18.70
301.2.8@Stream-large-south.Mountaineye,-,3.28,184.32,83.03
301.2.8@Stream-large-south.Mountaineye,-,2.36,151.89,-0.02
301.2.8@Stream-large-south.Mountaineye,-,2.81,194.06,-14.32
301.2.8@Stream-large-south.Mountaineye,-,4.84,268.25,16.16
301.2.8@Stream-large-south.Mountaineye,-,6.20,94.56,3.88
301.2.8@Stream-large-south.Mountaineye,-,3.58,112.75,4.00
301.2.8@Stream-large-south.Mountaineye,-,4.80,268.17,22.35
301.2.8@Stream-large-south.Mountaineye,-,5.07,272.30,15.66
301.2.8@Stream-large-south.Mountaineye,301.2.9@Stream-large-south.Mountaineye,6.14,86.64,8.62
301.2.9@Stream-large-south.Mountaineye,-,2.22,336.18,68.53
301.2.9@Stream-large-south.Mountaineye,-,1.35,108.93,-85.21
301.2.9@Stream-large-south.Mountaineye,-,1.96,171.24,-32.00
301.2.9@Stream-large-south.Mountaineye,-,1.67,330.81,1.14
301.2.9@Stream-large-south.Mountaineye,-,4.76,49.32,-7.21
301.2.9@Stream-large-south.Mountaineye,-,7.75,75.43,-5.61
301.2.9@Stream-large-south.Mountaineye,-,1.47,114.42,2.25
301.2.9@Stream-large-south.Mountaineye,301.2.10@Stream-large-south.Mountaineye,6.84,95.14,2.97
301.2.10@Stream-large-south.Mountaineye,-,2.40,57.68,0.96
301.2.10@Stream-large-south.Mountaineye,-,4.54,268.00,-8.35
301.2.10@Stream-large-south.Mountaineye,-,2.01,229.40,-19.11
301.2.10@Stream-large-south.Mountaineye,-,1.59,287.52,-7.50
301.2.10@Stream-large-south.Mountaineye,-,2.29,154.11,-31.62
301.2.10@Stream-large-south.Mountaineye,-,4.19,104.30,-13.05
301.2.10@Stream-large-south.Mountaineye,301.2.11@Stream-large-south.Mountaineye,7.41,88.18,-1.97
301.2.11@Stream-large-south.Mountaineye,69@Stream-large-south.Mountaineye,3.92,151.52,0.31
301.2.2@Stream-large-south.Mountaineye,301.2.12@Stream-large-south.Mountaineye,2.00,267.49,-27.58
301.2.12@Stream-large-south.Mountaineye,-,1.56,111.72,65.85
301.2.12@Stream-large-south.Mountaineye,-,0.90,69.86,-67.88
301.2.12@Stream-large-south.Mountaineye,-,0.80,96.18,-10.04
301.2.12@Stream-large-south.Mountaineye,301.2.13@Stream-large-south.Mountaineye,7.63,199.61,-31.81
301.2.13@Stream-large-south.Mountaineye,-,0.54,200.89,7.56
301.2.13@Stream-large-south.Mountaineye,-,6.54,10.93,26.07
301.2.13@Stream-large-south.Mountaineye,-,3.31,6.83,67.38
301.2.13@Stream-large-south.Mountaineye,-,0.97,49.07,-35.11
301.2.13@Stream-large-south.Mountaineye,-,7.20,104.04,1.26
301.2.13@Stream-large-south.Mountaineye,-,1.71,123.91,4.57
301.2.13@Stream-large-south.Mountaineye,-,5.09,59.92,16.51
301.2.13@Stream-large-south.Mountaineye,301.2.14@Stream-large-south.Mountaineye,17.33,339.04,8.34
301.2.14@Stream-large-south.Mountaineye,-,0.65,179.22,30.11
301.2.14@Stream-large-south.Mountaineye,-,1.56,130.72,-69.80
301.2.14@Stream-large-south.Mountaineye,-,11.81,143.65,-10.67
301.2.14@Stream-large-south.Mountaineye,-,7.35,120.77,-19.63
301.2.14@Stream-large-south.Mountaineye,-,6.21,94.04,-23.79
301.2.14@Stream-large-south.Mountaineye,-,12.26,171.96,0.65
301.2.14@Stream-large-south.Mountaineye,-,8.65,194.16,4.71
301.2.14@Stream-large-south.Mountaineye,-,3.76,37.78,-23.62
301.2.14@Stream-large-south.Mountaineye,-,5.38,327.30,-17.20
301.2.14@Stream-large-south.Mountaineye,-,12.07,241.03,1.15
301.2.14@Stream-large-south.Mountaineye,-,8.13,297.45,-12.23
301.2.14@Stream-large-south.Mountaineye,301.2.15@Stream-large-south.Mountaineye,10.52,268.68,-3.91
301.2.15@Stream-large-south.Mountaineye,-,4.01,180.59,48.60
301.2.15@Stream-large-south.Mountaineye,-,2.00,333.97,-67.21
301.2.15@Stream-large-south.Mountaineye,-,2.48,339.64,-39.45
301.2.15@Stream-large-south.Mountaineye,-,10.59,171.22,13.94
301.2.15@Stream-large-south.Mountaineye,-,7.70,204.87,9.45
301.2.15@Stream-large-south.Mountaineye,301.2.16@Stream-large-south.Mountaineye,17.37,216.31,-3.89
301.2.16@Stream-large-south.Mountaineye,-,6.81,315.16,39.81
301.2.16@Stream-large-south.Mountaineye,-,3.00,295.26,-31.02
301.2.16@Stream-large-south.Mountaineye,-,0.74,183.41,-29.94
301.2.16@Stream-large-south.Mountaineye,-,5.29,66.20,-7.49
301.2.16@Stream-large-south.Mountaineye,-,8.80,52.16,-4.20
301.2.16@Stream-large-south.Mountaineye,-,12.84,46.30,-5.54
301.2.16@Stream-large-south.Mountaineye,-,10.26,303.18,16.10
301.2.16@Stream-large-south.Mountaineye,-,15.42,281.67,8.54
301.2.16@Stream-large-south.Mountaineye,-,7.67,254.16,3.13
301.2.16@Stream-large-south.Mountaineye,-,11.68,249.18,11.00
301.2.16@Stream-large-south.Mountaineye,-,9.35,336.84,20.36
301.2.16@Stream-large-south.Mountaineye,-,7.15,49.33,-11.99
301.2.16@Stream-large-south.Mountaineye,301.2.17@Stream-large-south.Mountaineye,14.21,267.32,-1.54
301.2.17@Stream-large-south.Mountaineye,-,4.46,351.80,78.53
301.2.17@Stream-large-south.Mountaineye,-,1.02,343.22,-83.29
301.2.17@Stream-large-south.Mountaineye,-,5.40,184.11,35.79
301.2.17@Stream-large-south.Mountaineye,-,4.37,352.68,27.45
301.2.17@Stream-large-south.Mountaineye,-,2.43,283.42,-14.64
301.2.17@Stream-large-south.Mountaineye,301.2.18@Stream-large-south.Mountaineye,13.02,267.02,3.29
301.2.18@Stream-large-south.Mountaineye,-,3.43,275.45,79.22
301.2.18@Stream-large-south.Mountaineye,-,2.04,348.51,-51.70
301.2.18@Stream-large-south.Mountaineye,-,5.14,2.58,7.13
301.2.18@Stream-large-south.Mountaineye,-,6.06,213.32,36.17
301.2.18@Stream-large-south.Mountaineye,301.2.19@Stream-large-south.Mountaineye,7.79,309.34,1.61
301.2.19@Stream-large-south.Mountaineye,-,3.04,156.82,79.44
301.2.19@Stream-large-south.Mountaineye,-,1.23,175.61,-62.56
301.2.19@Stream-large-south.Mountaineye,-,5.12,88.25,6.85
301.2.19@Stream-large-south.Mountaineye,-,7.15,249.61,21.02
301.2.19@Stream-large-south.Mountaineye,-,9.72,189.23,15.50
301.2.19@Stream-large-south.Mountaineye,-,6.92,199.84,16.68
301.2.19@Stream-large-south.Mountaineye,-,9.12,346.11,13.92
301.2.19@Stream-large-south.Mountaineye,-,8.17,282.78,9.86
301.2.19@Stream-large-south.Mountaineye,301.2.20@Stream-large-south.Mountaineye,13.17,293.75,5.56
301.2.20@Stream-large-south.Mountaineye,-,2.95,3.64,84.29
301.2.20@Stream-large-south.Mountaineye,-,3.54,136.53,-43.64
301.2.20@Stream-large-south.Mountaineye,-,4.51,155.98,6.02
301.2.20@Stream-large-south.Mountaineye,-,5.04,197.17,3.75
301.2.20@Stream-large-south.Mountaineye,-,9.42,16.36,14.85
301.2.20@Stream-large-south.Mountaineye,-,6.13,335.00,34.22
301.2.20@Stream-large-south.Mountaineye,-,15.63,263.07,19.78
301.2.20@Stream-large-south.Mountaineye,-,5.99,269.37,18.31
301.2.20@Stream-large-south.Mountaineye,-,10.61,239.68,-2.60
301.2.20@Stream-large-south.Mountaineye,-,9.53,245.75,-2.58
301.2.20@Stream-large-south.Mountaineye,301.2.21@Stream-large-south.Mountaineye,7.57,316.79,34.30
301.2.21@Stream-large-south.Mountaineye,-,1.35,261.87,79.12
301.2.21@Stream-large-south.Mountaineye,-,0.65,292.12,-76.42
301.2.21@Stream-large-south.Mountaineye,-,16.55,322.58,12.83
301.2.21@Stream-large-south.Mountaineye,-,1.66,151.74,1.18
301.2.21@Stream-large-south.Mountaineye,-,11.35,226.62,0.32
301.2.21@Stream-large-south.Mountaineye,-,4.00,196.61,-2.50
301.2.21@Stream-large-south.Mountaineye,-,1.80,121.93,2.21
301.2.21@Stream-large-south.Mountaineye,-,5.53,59.14,2.25
301.2.21@Stream-large-south.Mountaineye,301.2.22@Stream-large-south.Mountaineye,11.47,303.67,2.04
301.2.22@Stream-large-south.Mountaineye,-,17.87,205.29,85.58
301.2.22@Stream-large-south.Mountaineye,-,7.91,185.57,-36.65
301.2.22@Stream-large-south.Mountaineye,-,14.91,104.91,3.82
301.2.22@Stream-large-south.Mountaineye,-,20.73,237.41,1.36
301.2.22@Stream-large-south.Mountaineye,-,19.94,251.91,2.88
301.2.22@Stream-large-south.Mountaineye,-,25.24,89.23,29.27
301.2.22@Stream-large-south.Mountaineye,-,24.97,65.33,25.91
301.2.22@Stream-large-south.Mountaineye,-,27.48,230.39,17.76
301.2.22@Stream-large-south.Mountaineye,-,22.25,201.11,19.08
301.2.22@Stream-large-south.Mountaineye,-,8.12,178.64,-21.74
301.2.22@Stream-large-south.Mountaineye,-,7.44,215.97,-17.68
301.2.22@Stream-large-south.Mountaineye,-,10.88,203.01,-10.51
301.2.22@Stream-large-south.Mountaineye,-,9.06,246.88,-5.76
301.2.22@Stream-large-south.Mountaineye,-,14.38,248.41,0.81
301.2.22@Stream-large-south.Mountaineye,-,11.10,291.55,20.39
301.2.22@Stream-large-south.Mountaineye,-,13.16,296.13,20.78
301.2.22@Stream-large-south.Mountaineye,301.2.23@Stream-large-south.Mountaineye,9.33,44.88,7.92
301.2.23@Stream-large-south.Mountaineye,-,3.79,297.16,-7.86
301.2.23@Stream-large-south.Mountaineye,-,3.82,293.65,-10.19
301.2.23@Stream-large-south.Mountaineye,-,2.75,37.92,42.31
301.2.23@Stream-large-south.Mountaineye,-,15.80,118.34,8.64
301.2.23@Stream-large-south.Mountaineye,-,10.28,157.07,-11.66
301.2.23@Stream-large-south.Mountaineye,-,9.72,167.52,-9.62
301.2.23@Stream-large-south.Mountaineye,-,17.24,213.67,73.35
301.2.23@Stream-large-south.Mountaineye,-,40.55,211.50,22.17
301.2@Stream-large-south.Mountaineye,301.3.1@Stream-large-south.Mountaineye,15.12,173.75,-2.53
301.3.1@Stream-large-south.Mountaineye,-,0.76,69.62,65.23
301.3.1@Stream-large-south.Mountaineye,-,0.70,37.91,-86.23
301.3.1@Stream-large-south.Mountaineye,-,1.41,98.44,4.10
301.3.1@Stream-large-south.Mountaineye,-,0.41,265.29,22.71
301.3.1@Stream-large-south.Mountaineye,-,1.43,135.52,3.36
301.3.1@Stream-large-south.Mountaineye,-,2.95,151.46,-8.58
301.3.1@Stream-large-south.Mountaineye,-,2.65,169.24,-14.30
301.3.1@Stream-large-south.Mountaineye,301.3.2@Stream-large-south.Mountaineye,3.22,169.28,-14.41
301.3.2@Stream-large-south.Mountaineye,-,1.47,224.59,68.87
301.3.2@Stream-large-south.Mountaineye,-,1.21,328.57,-83.83
301.3.2@Stream-large-south.Mountaineye,-,1.31,291.29,4.36
301.3.2@Stream-large-south.Mountaineye,-,1.03,221.80,-14.70
301.3.2@Stream-large-south.Mountaineye,-,1.46,143.45,-21.84
301.3.2@Stream-large-south.Mountaineye,-,2.34,145.15,-20.56
301.3.2@Stream-large-south.Mountaineye,301.3.3@Stream-large-south.Mountaineye,7.46,167.44,-28.48
301.3.3@Stream-large-south.Mountaineye,-,5.34,103.57,70.33
301.3.3@Stream-large-south.Mountaineye,-,1.40,278.59,-86.40
301.3.3@Stream-large-south.Mountaineye,-,3.94,72.42,28.11
301.3.3@Stream-large-south.Mountaineye,-,1.78,240.21,3.02
301.3.3@Stream-large-south.Mountaineye,-,7.73,135.37,-25.96
301.3.3@Stream-large-south.Mountaineye,-,5.69,111.49,25.41
301.3.3@Stream-large-south.Mountaineye,-,9.23,141.66,25.93
7.62@mousehouse3.Mountaineye,8.0@mousehouse3.Mountaineye,0.00,354.75,0.00
8.0@mousehouse3.Mountaineye,8.1@mousehouse3.Mountaineye,1.82,85.94,-62.78
8.1@mousehouse3.Mountaineye,8.2@mousehouse3.Mountaineye,2.26,260.75,-10.61
8.2@mousehouse3.Mountaineye,-,1.11,131.68,-1.82
8.2@mousehouse3.Mountaineye,-,1.26,316.00,-2.40
8.2@mousehouse3.Mountaineye,-,0.32,146.70,-81.33
8.2@mousehouse3.Mountaineye,-,0.60,181.87,83.38
8.2@mousehouse3.Mountaineye,-,1.10,40.91,2.08
8.2@mousehouse3.Mountaineye,-,1.00,93.99,0.52
8.2@mousehouse3.Mountaineye,-,3.64,17.78,-10.35
8.2@mousehouse3.Mountaineye,-,2.39,7.99,-9.20
8.2@mousehouse3.Mountaineye,-,1.91,21.31,-10.18
8.2@mousehouse3.Mountaineye,8.3@mousehouse3.Mountaineye,3.43,249.62,3.57
8.3@mousehouse3.Mountaineye,-,0.72,345.80,1.23
8.3@mousehouse3.Mountaineye,-,1.03,131.13,7.92
8.3@mousehouse3.Mountaineye,-,0.84,170.81,86.56
8.3@mousehouse3.Mountaineye,-,0.34,175.57,-86.01
8.3@mousehouse3.Mountaineye,-,1.73,32.29,-2.68
8.3@mousehouse3.Mountaineye,-,1.39,84.21,-1.72
8.3@mousehouse3.Mountaineye,8.4@mousehouse3.Mountaineye,2.54,262.84,6.38
8.4@mousehouse3.Mountaineye,-,1.87,28.26,3.69
8.4@mousehouse3.Mountaineye,-,1.19,111.91,85.03
8.4@mousehouse3.Mountaineye,-,0.47,6.02,-73.95
8.4@mousehouse3.Mountaineye,-,0.76,110.39,8.77
8.4@mousehouse3.Mountaineye,-,2.19,164.06,11.14
8.4@mousehouse3.Mountaineye,-,2.02,336.11,10.82
8.4@mousehouse3.Mountaineye,-,2.90,287.99,26.51
8.4@mousehouse3.Mountaineye,-,3.86,250.57,29.76
8.4@mousehouse3.Mountaineye,-,5.93,236.48,29.36
8.4@mousehouse3.Mountaineye,-,2.74,228.44,30.79
8.4@mousehouse3.Mountaineye,8.5@mousehouse3.Mountaineye,8.63,172.11,7.53
8.5@mousehouse3.Mountaineye,-,0.97,68.95,-2.06
8.5@mousehouse3.Mountaineye,-,0.59,248.09,1.75
8.5@mousehouse3.Mountaineye,-,1.11,54.97,79.61
8.5@mousehouse3.Mountaineye,-,1.15,351.70,-78.89
8.5@mousehouse3.Mountaineye,-,4.22,7.86,-4.09
8.5@mousehouse3.Mountaineye,-,4.98,337.38,-1.67
8.5@mousehouse3.Mountaineye,-,1.76,132.37,6.41
8.5@mousehouse3.Mountaineye,8.6@mousehouse3.Mountaineye,3.97,146.80,-2.31
8.6@mousehouse3.Mountaineye,-,1.30,39.74,8.39
8.6@mousehouse3.Mountaineye,-,1.67,211.48,-3.53
8.6@mousehouse3.Mountaineye,-,1.27,135.43,74.40
8.6@mousehouse3.Mountaineye,-,5.80,155.82,84.97
8.6@mousehouse3.Mountaineye,-,2.50,294.74,-2.59
8.6@mousehouse3.Mountaineye,-,1.75,343.40,-1.10
8.6@mousehouse3.Mountaineye,-,3.81,102.92,7.38
8.6@mousehouse3.Mountaineye,-,3.15,148.34,-0.80
8.6@mousehouse3.Mountaineye,-,1.08,162.58,-85.50
8.6@mousehouse3.Mountaineye,8.7@mousehouse3.Mountaineye,5.78,134.21,-4.97
8.7@mousehouse3.Mountaineye,-,0.23,241.84,11.12
